day_of_week	perf_date	perf_time	title	venue	perf_link	category	rating	website	event	image_url
Thursday	15/08/2019	20:00	Three	BYOV19 - 18: Sugar Swing Ballroom: Main Floor	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21142	Physical theatre	Parental Guidance (14+)	www.bossyflyer.com	BYOV	https://eventotron.imgix.net/05-22-2019-222904-2823.jpg
Thursday	15/08/2019	20:00	Gianni Schicchi	BYOV19 - 16: The Sanctuary Stage at Holy Trinity Anglican Church	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22759	Music/Musical Theatre	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/05-27-2019-230922-5925.jpg
Thursday	15/08/2019	20:00	Anna and the Substitute Teacher	8: Old Strat Perf Arts Centre (OSPAC)	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21988	Comedy	Family Friendly	adamschwartzcomedy.com	Lottery	https://eventotron.imgix.net/05-12-2019-172503-1659.jpg
Thursday	15/08/2019	20:00	Ingenue: Deanna Durbin, Judy Garland and the Golden Age of Hollywood	7: Chianti Yardbird Suite	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22640	Music/Musical Theatre	Parental Guidance (14+)	melaniegall.com/ingenue	Lottery	https://eventotron.imgix.net/04-01-2019-015454-2651.jpg
Thursday	15/08/2019	20:00	Tomatoes Tried to Kill Me but Banjos Saved My Life	2: Big Rock Backstage Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22312	Storytelling	Family Friendly	Tomatoestriedtokillme.com	Lottery	https://eventotron.imgix.net/04-26-2018-030204-3818.jpg
Thursday	15/08/2019	20:00	Water	1: ATB Westbury Theatre	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21915	Dance	Family Friendly	www.vivadancecompany.com	Lottery	https://eventotron.imgix.net/04-25-2019-180331-8706.jpg
Thursday	15/08/2019	20:00	Minerva-Queen of the Handcuffs	BYOV19 - 17: The Roxy on Gateway	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22968	Drama	Parental Guidance (14+)	#	BYOV	https://eventotron.imgix.net/06-25-2019-214915-7654.jpg
Thursday	15/08/2019	20:00	The Debutantes Present: My Mistake!	9: TELUS Phone Museum	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22416	Comedy	Parental Guidance (14+)	https://thedebutantes.ca	Lottery	https://eventotron.imgix.net/05-25-2019-063403-3471.jpg
Thursday	15/08/2019	20:00	Denial Is A Wonderful Thing	10: Acacia Hall	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:21791	Storytelling	Parental Guidance (14+)	www.theexit.org/denial	Lottery	https://eventotron.imgix.net/05-01-2019-190847-7140.jpg
Thursday	15/08/2019	20:00	Path to the Peak	BYOV19 - 45: Polar Park Brewing Co.	https://tickets.fringetheatre.ca/listprices.php?performanceId=601:22171	Music/Musical Theatre	Adult	#	BYOV	https://eventotron.imgix.net/06-10-2019-194531-3640.jpg
